READ_CODE,DESCRIPTION,VERSION
y00BV,Taumasthman tablet ...  ... ,3
YMLSR,Late-onset asthma (LOA) ...  ... ,3
YE0Te,Extrinsic asthma - atopy (& ++ ... Extrinsic asthma - atopy (& pollen) ... ,3
YaW15,Asthma control step 3 ...  ... ,3
Y1085,Extrinsic asthma - no status ... Extrinsic asthma without status asthmaticus ... ,3
Y108O,ASA triad - Asp-sens asthma tr ... ASA - Aspirin-sensitive asthma triad ... ,3
Y108P,Occupational asthma ...  ... ,3
Y108V,Sulphite-induced asthma ...  ... ,3
Y108e,Asthmatic bronchitis ...  ... ,3
YMH4i,Atopic asthma ...  ... ,3
Yac9n,Further asthma - drug preventn ... Further asthma - drug prevention ... ,3
Yaw0M,Chron asthm w fix airflw obstr ... Chronic asthma with fixed airflow obstruction ... ,3
Yayzs,Acute severe exacerbatn asthma ... Acute severe exacerbation of asthma ... ,3
YaqOV,RCP asthma assessment ... Royal College of Physicians asthma assessment ... ,3
Y7Dft,Asthma society member ...  ... ,3
YaoUx,Nocturnal asthma ...  ... ,3
1O2..,Asthma confirmed ...  ... ,2
YaaR3,Recent asthma management ...  ... ,3
YatH0,Mini asthma QOL questionnaire ... Mini asthma quality of life questionnaire ... ,3
YatH3,Under care asthma spclst nurse ... Under care of asthma specialist nurse ... ,3
YE0T4,(Hay fever + asthma) or (ext++ ... (Hay fever + asthma) or (extr asthma without status asthmat) ... (Hay fever with asthma) or (extrinsic asthma without status asthmaticus),3
YE0T5,Extrins asthma with: [asthma++ ... Extrins asthma with: [asthma attack] or [status asthmaticus] ... Extrinsic asthma with: [asthma attack] or [status asthmaticus],3
Y107x,Late onset asthma ...  ... ,3
Y109x,Wood asthma ...  ... ,3
YadS4,Exercise-induced asthma ...  ... ,3
YMK7F,Sequoiosis (red-cedar asthma) ...  ... ,3
c74..,NEDOCROMIL SODIUM [ASTHMA] ...  ... ,2
H33..,Asthma ...  ... ,2
H330z,Extrinsic asthma NOS ...  ... ,2
H333.,Acute exacerbation of asthma ...  ... ,2
H334.,Brittle asthma ...  ... ,2
H33z0,Status asthmaticus NOS ...  ... ,2
H33z2,Late-onset asthma ...  ... ,2
13Y4.,Asthma society member ...  ... ,2
663d.,Emerg asthm adm since lst appt ... Emergency asthma admission since last appointment ... ,2
663N0,Asthma causing night waking ...  ... ,2
663V0,Occasional asthma ...  ... ,2
388t.,RCP asthma assessment ... Royal College of Physicians asthma assessment ... ,2
173c.,Occupational asthma ...  ... ,2
Yaxjr,Asthma-COPD overlap syndrome ... Asthma-chronic obstructive pulmonary disease overlap syndrom ... ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome,3
YamDq,Aspirin-induced asthma ...  ... ,3
y01tJ,Nedocromil sodium [asthma] ...  ... ,3
Y7A05,Asthma disturbing sleep ...  ... ,3
Yaks4,Change in asthma managemt plan ...  ... ,3
YaY9k,Acute exacerbation of asthma ...  ... ,3
YMK5x,Asthma - cardiac ...  ... ,3
Yayzv,Life thrtng acut excbtn asthma ... Life threatening acute exacerbation of asthma ... ,3
