"READ_CODE","DESCRIPTION","VERSION"
y0CNV,Azithromycin 500mg tablet ...  ... ,"3"
YaS9v,Azithromycin pois undeterm int ... Azithromycin poisoning of undetermined intent ... ,"3"
e937.,AZITHROMYCIN 500mg tablets ...  ... ,"2"
YaTUA,Azithromycin overdose ...  ... ,"3"
y02Pl,Azithromycin ...  ... ,"3"
YaS9t,Accidental azithromycin poison ... Accidental azithromycin poisoning ... ,"3"
y0E2h,Azithromycin - chemical ...  ... ,"3"
e93..,AZITHROMYCIN DIHYDRATE ...  ... ,"2"
e93D.,AZITHROMYCIN 500mg pdr for inj ... AZITHROMYCIN 500mg powder for solution for injection ... ,"2"
y0E2i,Azithromycin dihydrate - chem ... Azithromycin dihydrate - chemical ... ,"3"
YaTUC,Intentional azithromycin OD ... Intentional azithromycin overdose ... ,"3"
yz5ET,AZITHRMYCN DIHY 15mg/g s-d e/d ... AZITHROMYCIN DIHYDRATE 15mg/g single-dose eye drops ... ,"3"
e93B.,AZITHRMYCN DIHY 15mg/g s-d e/d ... AZITHROMYCIN DIHYDRATE 15mg/g single-dose eye drops ... ,"2"
YaS9s,Azithromycin poisoning ...  ... ,"3"
e939.,CLAMELLE AZTHRMYCIN 500mg tabs ... CLAMELLE AZITHROMYCIN 500mg tablets ... ,"2"
yz7Rp,AZITHROMYCIN 500mg pdr for inj ... AZITHROMYCIN 500mg powder for solution for injection ... ,"3"
y0IrW,CLAMELLE AZTHRMYCIN 500mg tabs ... CLAMELLE AZITHROMYCIN 500mg tablets ... ,"3"
YaS9u,Intentional azithromycin pois ... Intentional azithromycin poisoning ... ,"3"
YaSX7,Azithromycin adverse reaction ...  ... ,"3"
YaSva,Azithromycin allergy ...  ... ,"3"
YaTUB,Accidental azithromycin OD ... Accidental azithromycin overdose ... ,"3"
YaTUD,Azithromycin OD undeterm int ... Azithromycin overdose of undetermined intent ... ,"3"
y02Pm,Azithromycin 250mg capsule ...  ... ,"3"
y02Pn,Azithromycin 200mg/5mL susp ... Azithromycin 200mg/5mL oral suspension ... ,"3"
e931.,AZITHROMYCIN 250mg capsules ...  ... ,"2"
e932.,AZITHROMYCIN 40mg/mL susp ... AZITHROMYCIN 40mg/mL suspension ... ,"2"
