"READ_CODE","DESCRIPTION","VERSION"
Y103T,Recurrent bronchiectasis ...  ... ,"3"
Y103W,Developmental bronchiectasis ...  ... ,"3"
Y103f,Tuberculous bronchiectasis ...  ... ,"3"
H341.,Post-infective bronchiectasis ...  ... ,"2"
YaxfE,H/O: bronchiectasis ...  ... ,"3"
Y103S,Bronchiectasis ...  ... ,"3"
Y103Z,Idiopathic bronchiectasis ...  ... ,"3"
Y103c,Bronchiectasis - tox aspiratn ... Bronchiectasis due to toxic aspiration ... ,"3"
A115.,Tuberculous bronchiectasis ...  ... ,"2"
H34z.,Bronchiectasis NOS ...  ... ,"2"
Y106I,Polynesian bronchiectasis ...  ... ,"3"
Y103U,Bronchiectasis NOS ...  ... ,"3"
Y103V,Congenital bronchiectasis ...  ... ,"3"
Y103X,Congen cystic bronchiectasis ... Congenital cystic bronchiectasis ... ,"3"
Y103b,Toxin-induced bronchiectasis ...  ... ,"3"
Y103e,Post-infective bronchiectasis ...  ... ,"3"
Y103h,Post-lung transpl bronchiect ... Post-lung transplantation bronchiectasis ... ,"3"
H34..,Bronchiectasis ...  ... ,"2"
"14BA.",H/O: bronchiectasis ...  ... ,"2"
P861.,Congenital bronchiectasis ...  ... ,"2"
YE125,(Congenital resp anomalies N++ ... (Congenital resp anomalies NOS) or (bronchiectasis - congen) ... (Congenital respiratory anomalies NOS) or (bronchiectasis - congenital),"3"
H340.,Recurrent bronchiectasis ...  ... ,"2"
Y103Y,Acquired bronchiectasis ...  ... ,"3"
Y103a,Obstructive bronchiectasis ...  ... ,"3"
Y103d,Bronchiectasis - toxic inhaln ... Bronchiectasis due to toxic inhalation ... ,"3"
Y103g,Post-tuberc bronchiectasis ... Post-tuberculous bronchiectasis ... ,"3"
YMKzY,Bronchiectasis - congen ...  ... ,"3"
