CONCEPT_ID,CONCEPT_HISTORY_ID,CONCEPT_HISTORY_DATE,COMPONENT_ID,COMPONENT_HISTORY_ID,LOGICAL_TYPE,CODELIST_ID,CODELIST_HISTORY_ID,ID,CODE,DESCRIPTION,ATTRIBUTES,RN,CONCEPT_VERSION_ID,CONCEPT_NAME,CODING_SYSTEM,PHENOTYPE_ID,PHENOTYPE_VERSION_ID,PHENOTYPE_NAME,PRIMARY
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169013,H3...,Chronic obstructive lung disease,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169014,H31..,Chronic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169015,H310.,Simple chronic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169068,H3100,Simple chronic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169016,H310z,Simple chronic bronchitis NOS,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169017,H311.,Mucopurulent chronic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169069,H3110,Purulent chronic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169018,H311z,Mucopurulent chronic bronchitis NOS,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169019,H3120,Chronic asthmatic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169020,H3121,Emphysematous bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169070,H3122,Acute exacerbation of chronic obstructive airways disease,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169021,H312z,Obstructive chronic bronchitis NOS,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
