"READ_CODE","DESCRIPTION","VERSION"
YaeaH,Route of breathing ...  ... ,"3"
y00Dg,Proprietary cough comps. M-Z ... Proprietary cough compounds M-Z ... ,"3"
YauET,Buteyko breathing exercises ...  ... ,"3"
YM16P,[D]Positive culture - sputum ... [D]Positive culture findings in sputum ... ,"3"
YaVR9,Frothy sputum ...  ... ,"3"
YaVRA,Watery sputum ...  ... ,"3"
YaVRH,Sweet smelling sputum ...  ... ,"3"
Y7GY3,Sputum gen. exam. NOS ...  ... ,"3"
Y7GY4,Sputum inspection ...  ... ,"3"
Ya0pY,[V]Whooping cough screening ... [V]Screening for whooping cough ... ,"3"
Y7Dsl,Breathlessness ...  ... ,"3"
Y7Dsm,Breathlessness symptom ...  ... ,"3"
Y7Dsq,Breathlessness NOS ...  ... ,"3"
Y7Dsu,Breathless - at rest ...  ... ,"3"
Y7Dsv,SOBAR - Shrt of breath at rest ... SOBAR - Shortness of breath at rest ... ,"3"
Y7Dsy,PND - Paroxys nocturn dyspnoea ... PND - Paroxysmal nocturnal dyspnoea ... ,"3"
Y7Dt3,Laboured breathing ...  ... ,"3"
Y7Dto,Thoracic breathing ...  ... ,"3"
Y7Dtt,Pursed-lip breathing ...  ... ,"3"
YMJ5U,Whooping cough - pertussis ...  ... ,"3"
Y71OX,Whooping cough NOS ...  ... ,"3"
Ya1o6,Sputum appearance ...  ... ,"3"
Ya1oA,Stringy sputum ...  ... ,"3"
Ya1oC,Thin sputum ...  ... ,"3"
Ya1oG,Green sputum ...  ... ,"3"
Y75Qe,Manually assisted breathing ...  ... ,"3"
Y75Qi,Mech assisted breathing ... Mechanically assisted breathing ... ,"3"
YM8xA,Site in breathing system ...  ... ,"3"
y0BqN,Tixylix cough & cold ...  ... ,"3"
YM3aj,Breathing in ...  ... ,"3"
Yad1I,Regulat breath exer for speech ... Regulated breathing exercises for speech ... ,"3"
Yad1J,Breathing phonatory exercises ...  ... ,"3"
y0CRP,Tracheostomy breathing aid ...  ... ,"3"
YM64F,Sounds clear with cough ...  ... ,"3"
YMJMU,"Sputum,positiv.culture find[D] ...  ... ","3"
YMBO7,"[X]OS threat breath unsp place ... [X]Oth specif threat to breathing occurrn at unspecif place ... [X]Other specified threats to breathing, occurrence at unspecified place","3"
YMBOA,"[X]Unsp threat breath res inst ... [X]Unspecif threat to breathng occurrn in resident instit'n ... [X]Unspecified threat to breathing, occurrence in residential institution","3"
YMBOF,"[X]Unsp threat breath indus ar ... [X]Unspecif threat to breathing occ at industr/constr area ... [X]Unspecified threat to breathing, occurrence at industrial and construction area","3"
YM9gj,Bronchial cough ...  ... ,"3"
Y7G3v,Prolong overbreathing response ... Prolonged overbreathing response ... ,"3"
YMJSy,Sputum + blood-symptom ...  ... ,"3"
Y79pd,Sputum sent for C/S ...  ... ,"3"
YaRgz,Croupy cough ...  ... ,"3"
YaRh0,Barking cough ...  ... ,"3"
y0GpM,Vntge Dry Cough 10mg/5mL lncts ... Vantage Dry Cough 10mg/5mL linctus ... ,"3"
Ya4qb,Noisy breathing ...  ... ,"3"
YMHdJ,Chest pain on breathing ...  ... ,"3"
Yah7g,Unexplained cough ...  ... ,"3"
YawYX,Acid-fast bcills sptm smr ngtv ... Acid-fast bacillus sputum smear negative ... ,"3"
Y7FN7,Sputum: excessive - mucoid ...  ... ,"3"
Y7FRI,Acid fast bacilli in sputum ...  ... ,"3"
YawYD,Acid-fast bcils sptm smr postv ... Acid-fast bacillus sputum smear positive ... ,"3"
YM5H4,Sputum sample ...  ... ,"3"
YM5H6,Sputum-tracheost aspir sample ... Sputum - tracheostomy aspirate sample ... ,"3"
YM5H7,Sputum - coughed sample ...  ... ,"3"
YMBNB,"[X]Suffocat cave in indus area ... [X]Thret breth due cave-in fall erth+oth sub ind/constr area ... [X]Threat to breathing due to cave-in, falling earth and other substances, occurrence at industrial and construction area","3"
