"READ_CODE","DESCRIPTION","VERSION","ANTIBIOTICS"
y0El3,Hydrocortisone+dimeticone ... Hydrocortisone+dimeticone '350' ... ,"3","0"
y03LX,Oral prednisolone ...  ... ,"3","0"
y00uL,Vioform-hydrocort ointment 30g ... Vioform-hydrocortisone ointment 30g ... ,"3","0"
y0AiQ,Vioform Hydrocortisone ...  ... ,"3","0"
y0Bsd,Prednisolone product ...  ... ,"3","0"
y0Bsv,Ciproxin 5g/100mL suspension ... Ciproxin 5g/100mL oral suspension ... ,"3","1"
y02Kw,Distaclor 125mg/5mL suspension ...  ... ,"3","1"
y02Kx,Distaclor 250mg/5mL suspension ...  ... ,"3","1"
y02L4,Cefaclor 375mg m/r tablet ...  ... ,"3","1"
y02Lp,Cefuroxime ...  ... ,"3","1"
y02Lt,Zinnat 125mg tablet ...  ... ,"3","1"
y02Ly,Zinnat 125mg/5mL suspension ...  ... ,"3","1"
y02Lz,Cefuroxime 125mg/5mL susp ... Cefuroxime 125mg/5mL suspension ... ,"3","1"
y02M3,Cefuroxime 750mg inf+kit ... Cefuroxime 750mg infusion (pdr for recon)+saline kit ... ,"3","1"
y02M5,Cefurox+metronid 750/500mg inf ... Cefuroxime+metronidazole 750mg/500mg infusion kit ... ,"3","1"
y08hg,Erythroped A ...  ... ,"3","1"
Y73Gv,AR - hydrocortisone ... Adverse reaction to hydrocortisone ... ,"3","0"
YaSyu,Hydrocortisone allergy ...  ... ,"3","0"
YaSzK,Methylprednisolone allergy ...  ... ,"3","0"
YaSzM,Topical prednisolone allergy ...  ... ,"3","0"
y0Dbe,Erythromy+tretin 4/0.025% soln ... Erythromycin+tretinoin 4%/0.025% topical solution ... ,"3","1"
y049Y,Parenteral dexamethasone ...  ... ,"3","0"
y030P,Hydrocortis ac 25mg/1mL inj ... Hydrocortisone acetate 25mg/1mL injection ... ,"3","0"
Yavvb,Inj hydrocort acet elbow jt ... Injection of hydrocortisone acetate into elbow joint ... ,"3","0"
YabUF,Inj hydrocort acet shoulder jt ... Injection of hydrocortisone acetate into shoulder joint ... ,"3","0"
y00is,Prednisol acet 25mg/1mL inj ... Prednisolone acetate 25mg/1mL injection ... ,"3","0"
y08am,Augmentin ...  ... ,"3","1"
y03wE,Prednisolone 20mg rectal foam ...  ... ,"3","0"
y08GZ,Methylprednisol 500mg inj pdr ... Methylprednisolone 500mg injection (pdr for recon) ... ,"3","0"
y08Ga,Methylprednisolone 1g inj pdr ... Methylprednisolone 1g injection (pdr for recon) ... ,"3","0"
yz77j,DILACORT 5mg g/r tablets ... DILACORT 5mg gastro-resistant tablets ... ,"3","0"
y044k,Oral erythromycin ...  ... ,"3","1"
y00sz,Hydrocortisone creams ...  ... ,"3","0"
y00t0,Hydrocortisone 1% cream 15g ...  ... ,"3","0"
y00t2,Hydrocortisone 1% cream 50g ...  ... ,"3","0"
y0AXB,Clarithromycin 250mg/sach gran ... Clarithromycin 250mg/sachet granules ... ,"3","1"
y0Egy,Amoxicillin 250mg inj pdr ... Amoxicillin 250mg injection (pdr for recon) ... ,"3","1"
YaSwh,Cefaclor allergy ...  ... ,"3","1"
y0ABW,Canesten Hydrocortison crm 15g ... Canesten Hydrocortisone cream 15g ... ,"3","0"
YaSX7,Azithromycin adverse reaction ...  ... ,"3","1"
y08xB,Solu-Cortef ...  ... ,"3","0"
y00oP,Neo-Cortef ear drops 5mL ...  ... ,"3","0"
y02M8,Cefuroxime 750mg inj pdr ... Cefuroxime 750mg injection (pdr for recon) ... ,"3","1"
y02MV,Keflex 500mg tablet ...  ... ,"3","1"
y0Eex,Amoxicillin ...  ... ,"3","1"
y0GqA,Ciprofloxacin 3mg/g eye oint ... Ciprofloxacin 3mg/g eye ointment ... ,"3","1"
y0GqC,Ciprofloxacin 3% eye ointment ...  ... ,"3","1"
y02Ii,Co-amoxicl 250/125mg disp tab ... Co-amoxiclav 250mg/125mg s/f dispersible tablet ... ,"3","1"
y0EfU,Cefalexin 250mg tablet ...  ... ,"3","1"
y02I3,Amoxil 500mg capsule ...  ... ,"3","1"
y02I7,Amoxil SF 250mg/5mL s/f susp ... Amoxil SF 250mg/5mL s/f suspension ... ,"3","1"
y02IF,Amoxil 250mg inj pdr ... Amoxil 250mg injection (pdr for recon) ... ,"3","1"
y02IH,Amoxil 500mg inj pdr ... Amoxil 500mg injection (pdr for recon) ... ,"3","1"
y02IQ,Augmentin 125mg/31mg/5mL susp ... Augmentin 125mg/31mg/5mL s/f suspension ... ,"3","1"
y02IV,Amoxil Fiztab 250mg s/f chewab ... Amoxil Fiztab 250mg s/f chewable tablet ... ,"3","1"
YaVDT,Hydrocortisone sensitivity ...  ... ,"3","0"
YMI3Q,[X] Adv reaction to prednisone ... [X] Adverse reaction to prednisone ... ,"3","0"
Y72qe,Erythromycin/macrol.poison.NOS ... Erythromycin or macrolide poisoning NOS ... ,"3","1"
y02Nt,Vibramycin 100mg capsule ...  ... ,"3","1"
y02Nu,Vibramycin-D 100mg disp tab ... Vibramycin-D 100mg dispersible tablet ... ,"3","1"
YapZ1,[X] Adv reaction to cefalexin ... [X] Adverse reaction to cefalexin ... ,"3","1"
y02P6,Erythromycin 500mg tablet ...  ... ,"3","1"
y02PG,Erythromycin 1g i-v inf ... Erythromycin 1g infusion (pdr for recon) ... ,"3","1"
y03C9,Erythro+Zn 40/12mg/mL top soln ... Erythromycin+zinc acetate 40mg/12mg/mL topical solution ... ,"3","1"
y01AR,Erythroped 250mg/5ml s/f susp ... Erythroped 250mg/5mL sugar free suspension 140mL ... ,"3","1"
y0C4j,Minims Dexamet 0.1% e-d 0.5mL ... Minims Dexamethasone Na phosphate 0.1% s-d eye drops 0.5mL ... Minims Dexamethasone sodium phosphate 0.1% single-use eye drops 0.5mL,"3","0"
y039k,Kerfoot hydrocortisone cream ...  ... ,"3","0"
y039n,Hydrocortisone acetate 1% oint ... Hydrocortisone acetate 1% ointment ... ,"3","0"
y039p,Hydrocort+crotamiton cream ... Hydrocortisone+crotamiton 0.25%/10% cream ... ,"3","0"
y039q,Hydrocorti+pramoxine HCl foam ... Hydrocortisone acetate+pramoxine hydrochloride 1.0/1.0% foam ... ,"3","0"
y039v,Hydrocort+OXYTET1/3% ointment ... Hydrocortisone+oxytetracycline 1.0/3% ointment ... ,"3","0"
y03AS,Hydrocortisone but 0.1% crm ... Hydrocortisone butyrate 0.1% cream ... ,"3","0"
y03AT,Hydrocort but 0.1% lipocream ... Hydrocortisone butyrate 0.1% lipocream ... ,"3","0"
y03Ad,Hydrocortisone acetate 1% crm ... Hydrocortisone acetate 1% cream ... ,"3","0"
YaS9u,Intentional azithromycin pois ... Intentional azithromycin poisoning ... ,"3","1"
YaS9y,Intention clarithromycin pois ... Intentional clarithromycin poisoning ... ,"3","1"
YaSBG,Accidental cefaclor poisoning ...  ... ,"3","1"
YaSBL,Intentional cefuroxime poison ... Intentional cefuroxime poisoning ... ,"3","1"
YaSBM,Cefuroxime pois undetermin int ... Cefuroxime poisoning of undetermined intent ... ,"3","1"
y02Td,Ciprofloxacin ...  ... ,"3","1"
y02Ti,Ciproxin 750mg tablet ...  ... ,"3","1"
y02Tm,Ciprofloxacin 100mg/50mL inf ... Ciprofloxacin 100mg/50mL intravenous infusion ... ,"3","1"
y04Ak,Prednisolone drops ...  ... ,"3","0"
y04Am,Rectal prednisolone preps ... Rectal prednisolone preparations ... ,"3","0"
y0919,Zithromax ...  ... ,"3","1"
YaSYF,Cefuroxime adverse reaction ...  ... ,"3","1"
YaTVU,Accidental cefaclor overdose ...  ... ,"3","1"
YaTWP,Intentional doxycycline OD ... Intentional doxycycline overdose ... ,"3","1"
YaSao,Dexamethasone adverse reaction ...  ... ,"3","0"
YaSap,Topical dexamethasone adv reac ... Topical dexamethasone adverse reaction ... ,"3","0"
YaTXk,Prednisone overdose ...  ... ,"3","0"
YaTXn,Prednison overdose undet inten ... Prednisone overdose of undetermined intent ... ,"3","0"
y01Ck,Hydrocortisone 2.5% cream 30g ...  ... ,"3","0"
y07kl,Deltahydrocortisone ...  ... ,"3","0"
y0Cci,Erythroped Forte SF ...  ... ,"3","1"
YaS9p,Accidental erythromycin poison ... Accidental erythromycin poisoning ... ,"3","1"
y07D1,Hydrocortisone 0.5% oint 15g ... Hydrocortisone 0.5% ointment 15g ... ,"3","0"
y08ev,Deltacortril ...  ... ,"3","0"
