"READ_CODE","DESCRIPTION","VERSION"
YM4XT,H infl type B polyrib phos ab ... Haemophilus influenzae type B polyribose phosphate antibody ... ,"3"
Yakkr,Influenza A antigen level ...  ... ,"3"
Yadvd,Acute infective bronchitis ...  ... ,"3"
Y02XT,Acute bact.laryngitis unspec. ... Acute bacterial laryngitis unspecified ... ,"3"
Y02Xg,Acute laryngotracheobronchitis ...  ... ,"3"
Y203y,Acute/subac.bacter.endocardit. ... Acute and subacute bacterial endocarditis ... ,"3"
Y204J,SBE - Subacute bact endocard ... SBE - Subacute bacterial endocarditis ... ,"3"
YaVgA,Acute viral laryngotracheitis ...  ... ,"3"
YM700,Parainfluenza virus ...  ... ,"3"
YM706,Parainfluenza virus type 3 ...  ... ,"3"
YadOw,"Second DTP polio HiB vaccinatn ... Second dip, tet, pert, polio and H influenz type B vaccinatn ... Second diphtheria, tetanus, pertussis, polio and Haemophilus influenzae type B vaccination","3"
YadOx,"Third DTP polio HiB vaccinatn ... Third diph, tet, pert, polio and H influenz type B vaccinatn ... Third diphtheria, tetanus, pertussis, polio and Haemophilus influenzae type B vaccination","3"
YapM9,Influenza (A&B) serology ...  ... ,"3"
Yau5M,Influenza vacc verbal invitati ... Influenza vaccination verbal invitation ... ,"3"
Y206x,Acute myocarditis - influenzal ...  ... ,"3"
YabKG,Influenza vaccine refused ...  ... ,"3"
Yaw2Y,Administ of intranasal flu vac ... Administration of intranasal influenza vaccination ... ,"3"
Yaw9E,Provisn info seasonal flu vacc ... Provision of information about seasonal flu vaccination ... Provision of information about seasonal influenza vaccination,"3"
YawSS,Admin sec intrnsl ssnl inf vac ... Administration of second intranasal seasonal influenza vacc ... Administration of second intranasal seasonal influenza vaccination,"3"
YA0RI,Foreign body-respiratory tract ... Foreign body in respiratory tract ... ,"3"
YA0RJ,Foreign body-upper resp tract ... Foreign body in upper respiratory tract ... ,"3"
Yas5U,Hum parainfluenza vir detected ...  ... ,"3"
y03H6,Haemoph influen b vac inj+syng ... Haemophilus influenzae Type b vaccine inj (pdr)+dil+syringe ... Haemophilus influenzae Type b vaccine injection (pdr)+diluent+syringe,"3"
YM1DH,[SO]Resp tract or mouth OS ... [SO]Other specified part of respiratory tract or mouth ... ,"3"
Ya3SV,Lower respiratory tract ...  ... ,"3"
YautI,Parainfl type 4 nuc acid detn ... Parainfluenza type 4 nucleic acid detection ... ,"3"
YawxP,Parainfluenza type 3 NADA ... Parainfluenza type 3 nucleic acid detection assay ... ,"3"
Yaxbt,Parainfluenz 2 RNA dtctn assay ... Parainfluenza virus type 2 ribonucleic acid detection assay ... ,"3"
YavnY,Influenza vacc 3rd phone invit ... Influenza vaccination third telephone invitation ... ,"3"
Y1006,Upper resp.tract disease NOS ... Upper respiratory tract disease NOS ... ,"3"
Y100e,Upper resp. tract infect. NOS ... Upper respiratory tract infection NOS ... ,"3"
Y100w,Acute wheezy bronchitis ...  ... ,"3"
Y1010,Acute membranous bronchitis ...  ... ,"3"
Y1012,Acute purulent bronchitis ...  ... ,"3"
YMBNX,"[X]Inhalat food in indus area ... [X]Inhl+ingest food caus obst resp tract industr/constr area ... [X]Inhalation and ingestion of food causing obstruction of respiratory tract, occurrence at industrial and construction area","3"
