"CONCEPT_ID","CONCEPT_HISTORY_ID","CONCEPT_HISTORY_DATE","COMPONENT_ID","COMPONENT_HISTORY_ID","LOGICAL_TYPE","CODELIST_ID","CODELIST_HISTORY_ID","ID","CODE","DESCRIPTION","ATTRIBUTES","RN","CONCEPT_VERSION_ID","CONCEPT_NAME","CODYING_SYSTEM","PHENOTYPE_ID","PHENOTYPE_VERSION_ID","PHENOTYPE_NAME","PRIMARY"
2481,6362,"2022-01-17T14:00:11.938099Z",2803,3837,1,2803,3783,169083,XaIet,Chronic obstructive pulmonary disease annual review,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,"2022-01-17T14:00:11.938099Z",2803,3837,1,2803,3783,169109,XaXCa,Chronic obstructive pulmonary disease 3 monthly review,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,"2022-01-17T14:00:11.938099Z",2803,3837,1,2803,3783,169110,XaXCb,Chronic obstructive pulmonary disease 6 monthly review,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,"2022-01-17T14:00:11.938099Z",2803,3837,1,2803,3783,169115,XaYZO,COPD self-management plan review,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2480,6360,"2022-01-17T14:00:10.339428Z",2802,3836,1,2802,3782,168923,"661N300",COPD self-management plan review,"{'CPRD GOLD Med': '104169', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': 'Y', 'Validated, Quint et al., 2014': '', 'Cambridge COP087 (QOF 2012)': '', 'Cambridge COP151 (QOF 2012)': '', 'LSHTM Data Compass 340': '', 'LSHTM Data Compass 859': '', 'LSHTM Data Compass 1134': 'Y', 'LSHTM Data Compass 1600': '', 'LSHTM Data Compass 1682': '', 'LSHTM Data Compass 2036': 'Y', 'Manchester Clinical Codes 1 (QOF v24)': '', 'Manchester Clinical Codes 2 (QOF v5)': '', 'Manchester Clinical Codes 5 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 6 (Doran et al., 2011)': '', 'Manchester Clinical Codes 6_QOF (Doran et al., 2011)': '', 'Manchester Clinical Codes 9 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 21 (Kontopantelis et al., 2015)': '', 'Manchester Clinical Codes 26 (Reilly et al., 2015)': '', 'Manchester Clinical Codes 43 (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_conservative (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_QOF (Kontopantelis et al., 2012)': '', 'TargetCOPD_Emis (Jordan et al., 2016)': '', 'TargetCOPD_SystemOne (Jordan et al., 2016)': '', 'QOF v36 (2016-2017)': '', 'Chen et al., 2020': 'Y', 'Cole et al., 2020': '', 'Kerkhof et al., 2020': '', 'Patel et al., 2020': 'Y', 'Rockenschaub et al., 2020': ''}",1,6360,Chronic obstructive pulmonary disease (COPD) Primary care -  1,"{'id': 5, 'name': 'Read codes v2', 'description': 'Read codes v2'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2480,6360,"2022-01-17T14:00:10.339428Z",2802,3836,1,2802,3782,168928,"66YB000",Chronic obstructive pulmonary disease 3 monthly review,"{'CPRD GOLD Med': '102685', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': 'Y', 'Validated, Quint et al., 2014': '', 'Cambridge COP087 (QOF 2012)': '', 'Cambridge COP151 (QOF 2012)': '', 'LSHTM Data Compass 340': 'Y', 'LSHTM Data Compass 859': 'Y', 'LSHTM Data Compass 1134': 'Y', 'LSHTM Data Compass 1600': 'Y', 'LSHTM Data Compass 1682': 'Y', 'LSHTM Data Compass 2036': 'Y', 'Manchester Clinical Codes 1 (QOF v24)': '', 'Manchester Clinical Codes 2 (QOF v5)': '', 'Manchester Clinical Codes 5 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 6 (Doran et al., 2011)': '', 'Manchester Clinical Codes 6_QOF (Doran et al., 2011)': '', 'Manchester Clinical Codes 9 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 21 (Kontopantelis et al., 2015)': '', 'Manchester Clinical Codes 26 (Reilly et al., 2015)': '', 'Manchester Clinical Codes 43 (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_conservative (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_QOF (Kontopantelis et al., 2012)': '', 'TargetCOPD_Emis (Jordan et al., 2016)': '', 'TargetCOPD_SystemOne (Jordan et al., 2016)': '', 'QOF v36 (2016-2017)': '', 'Chen et al., 2020': 'Y', 'Cole et al., 2020': '', 'Kerkhof et al., 2020': '', 'Patel et al., 2020': 'Y', 'Rockenschaub et al., 2020': ''}",1,6360,Chronic obstructive pulmonary disease (COPD) Primary care -  1,"{'id': 5, 'name': 'Read codes v2', 'description': 'Read codes v2'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2480,6360,"2022-01-17T14:00:10.339428Z",2802,3836,1,2802,3782,168929,"66YB100",Chronic obstructive pulmonary disease 6 monthly review,"{'CPRD GOLD Med': '103007', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': 'Y', 'Validated, Quint et al., 2014': '', 'Cambridge COP087 (QOF 2012)': '', 'Cambridge COP151 (QOF 2012)': '', 'LSHTM Data Compass 340': 'Y', 'LSHTM Data Compass 859': 'Y', 'LSHTM Data Compass 1134': 'Y', 'LSHTM Data Compass 1600': 'Y', 'LSHTM Data Compass 1682': 'Y', 'LSHTM Data Compass 2036': 'Y', 'Manchester Clinical Codes 1 (QOF v24)': '', 'Manchester Clinical Codes 2 (QOF v5)': '', 'Manchester Clinical Codes 5 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 6 (Doran et al., 2011)': '', 'Manchester Clinical Codes 6_QOF (Doran et al., 2011)': '', 'Manchester Clinical Codes 9 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 21 (Kontopantelis et al., 2015)': '', 'Manchester Clinical Codes 26 (Reilly et al., 2015)': '', 'Manchester Clinical Codes 43 (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_conservative (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_QOF (Kontopantelis et al., 2012)': '', 'TargetCOPD_Emis (Jordan et al., 2016)': '', 'TargetCOPD_SystemOne (Jordan et al., 2016)': '', 'QOF v36 (2016-2017)': '', 'Chen et al., 2020': 'Y', 'Cole et al., 2020': '', 'Kerkhof et al., 2020': '', 'Patel et al., 2020': 'Y', 'Rockenschaub et al., 2020': ''}",1,6360,Chronic obstructive pulmonary disease (COPD) Primary care -  1,"{'id': 5, 'name': 'Read codes v2', 'description': 'Read codes v2'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2480,6360,"2022-01-17T14:00:10.339428Z",2802,3836,1,2802,3782,168882,"66YM.00",Chronic obstructive pulmonary disease annual review,"{'CPRD GOLD Med': '11287', 'BREATHE Chronic bronchitis': 'Y', 'BREATHE Emphysema': 'Y', 'BREATHE incident COPD': 'Y', 'BREATHE prevalent COPD': 'Y', 'BREATHE COPD exacerbations': '', 'BREATHE recommended': 'Y', 'Validated, Quint et al., 2014': 'Y', 'Cambridge COP087 (QOF 2012)': '', 'Cambridge COP151 (QOF 2012)': '', 'LSHTM Data Compass 340': 'Y', 'LSHTM Data Compass 859': 'Y', 'LSHTM Data Compass 1134': 'Y', 'LSHTM Data Compass 1600': 'Y', 'LSHTM Data Compass 1682': 'Y', 'LSHTM Data Compass 2036': 'Y', 'Manchester Clinical Codes 1 (QOF v24)': '', 'Manchester Clinical Codes 2 (QOF v5)': '', 'Manchester Clinical Codes 5 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 6 (Doran et al., 2011)': 'Y', 'Manchester Clinical Codes 6_QOF (Doran et al., 2011)': '', 'Manchester Clinical Codes 9 (Kontopantelis et al., 2014)': '', 'Manchester Clinical Codes 21 (Kontopantelis et al., 2015)': '', 'Manchester Clinical Codes 26 (Reilly et al., 2015)': '', 'Manchester Clinical Codes 43 (Kontopantelis et al., 2012)': 'Y', 'Manchester Clinical Codes 43_conservative (Kontopantelis et al., 2012)': '', 'Manchester Clinical Codes 43_QOF (Kontopantelis et al., 2012)': '', 'TargetCOPD_Emis (Jordan et al., 2016)': '', 'TargetCOPD_SystemOne (Jordan et al., 2016)': '', 'QOF v36 (2016-2017)': '', 'Chen et al., 2020': 'Y', 'Cole et al., 2020': '', 'Kerkhof et al., 2020': '', 'Patel et al., 2020': 'Y', 'Rockenschaub et al., 2020': ''}",1,6360,Chronic obstructive pulmonary disease (COPD) Primary care -  1,"{'id': 5, 'name': 'Read codes v2', 'description': 'Read codes v2'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2479,6358,"2022-01-17T14:00:08.308940Z",2801,3835,1,2801,3781,168789,"1488424013",Chronic obstructive pulmonary disease annual review,{},1,6358,Chronic obstructive pulmonary disease (COPD) Primary care - BREATHE recommended - 3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2479,6358,"2022-01-17T14:00:08.308940Z",2801,3835,1,2801,3781,168791,"1683181000000112",Chronic obstructive pulmonary disease 3 monthly review,{},1,6358,Chronic obstructive pulmonary disease (COPD) Primary care - BREATHE recommended - 3,"{'id': 9, 'name': 'SNOMED  CT codes', 'description': 'SNOMED CT codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
